translation,navnem.,nutid,datid,førnutid,førdatid,bydem.,bøj.,,,,
pick,samle,samler,samlede,har samlet,havde samlet,saml,b1,,,,
compare,sammenligne,sammen-ligner,sammen-lignede,har sammen-lignet,havde sammen-lignet,sammen-lign,b1,,,,
bet,satse,satser,satsede,har satset,havde satset,sats,b1,,,,
miss,savne,savner,savnede,har savnet,havde savnet,savn,b1,,,,
see,se,ser,så,har set,havde set,se,uv,,,,
sailing,sejle,sejler,sejlede,har sejlet,havde sejlet,sejl,b1,,,,
send,sende,sender,sendte,har sendt,havde sendt,send,b2,,,,
servers,servere,serverer,serverede,har serveret,havde serveret,server,b1,,,,
seen,ses,ses,sås,har sets,havde sets,,uv,,,,
sit,sidde,sidder,sad,har siddet,havde siddet,sid,uv,,,,
say,sige,siger,sagde,har sagt,havde sagt,sig,uv,,,,
ensure,sikre,sikrer,sikrede,har sikret,havde sikret,sikr,b1,,,,
create,skabe,skaber,skabte,har skabt,havde skabt,skab,b2,,,,
damage,skade,skader,skadede,har skadet,havde skadet,skad,b1,,,,
provide,skaffe,skaffer,skaffede,har skaffet,havde skaffet,skaf,b1,,,,
spoon,ske,sker,skete,er sket,var sket,ske,b2,,,,
switch,skifte,skifter,skiftede,har skiftet,havde skiftet,skift,b1,,,,
shine,skinne,skinner,skinnede,har skinnet,havde skinnet,skin,b1,,,,
hide,skjule,skjuler,skjulte,har skjult,havde skjult,skjul,b2,,,,
scream,skrige,skriger,skreg,har skreget,havde skreget,skrig,uv,,,,
write,skrive,skriver,skrev,har skrevet,havde skrevet,skriv,uv,,,,
scare,skræmme,skræmmer,skræmte,har skræmt,havde skræmt,skræm,b2,,,,
push,skubbe,skubber,skubbede,har skubbet,havde skubbet,skub,b1,,,,
drawer,skuffe,skuffer,skuffede,har skuffet,havde skuffet,skuf,b1,,,,
should,skulle,skal,skulle,har skullet,havde skullet,,uv,,,,
shoot,skyde,skyder,skød,har skudt,havde skudt,skyd,uv,,,,
due,skyldes,skyldes,skyldtes,har skyldtes,havde skyldtes,,uv,,,,
cut,skære,skærer,skar,har skåret,havde skåret,skær,uv,,,,
release,slippe,slipper,slap,har / ersluppet,havdesluppet/ var,slip,uv,,,,
off,slukke,slukker,slukkede,er slukket,var slukket,sluk,b1,,,,
join,slutte,slutter,sluttede,er sluttet,var sluttet,slut,b1,,,,
beat,slå,slår,slog,har slået,havde slået,slå,uv,,,,
fight,slås,slås,sloges,har sloges,havde sloges,slås,uv,,,,
taste,smage,smager,smagte,har smagt,havde smagt,smag,b2,,,,
throw,smide,smider,smed,har smidt,havde smidt,smid,b2,,,,
smile,smile,smiler,smilede,har smilet,havde smilet,smil,b1,,,,
infection,smitte,smitter,smittede,har smittet,havde smittet,smit,b1,,,,
talk,snakke,snakker,snakkede,har snakket,havde snakket,snak,b1,,,,
sleep,sove,sover,sov,har sovet,havde sovet,sov,uv,,,,
save,spare,sparer,sparede,har sparet,havde sparet,spar,b1,,,,
play,spille,spiller,spillede,har spillet,havde spillet,spil,b1,,,,
eat,spise,spiser,spiste,har spist,havde spist,spis,b2,,,,
spread,sprede,spreder,spredte,har spredt,havde spredt,spred,b2,,,,
skip,springe,springer,sprang,sprungethar / er,havdesprunget/ var,spring,uv,,,,
ask,spørge,spørger,spurgte,har spurgt,havde spurgt,spørg,uv,,,,
strain,stamme,stammer,stammede,har stammet,havde stammet,stam,b1,,,,
stop,standse,standser,standsede,standsethar / er,havdestandset/ var,stands,b1,,,,
start,starte,starter,startede,har / er startet,havde / var startet,start,b1,,,,
vote,stemme,stemmer,stemte,har stemt,havde stemt,stem,b2,,,,
roast,stege,steger,stegte,har stegt,havde stegt,steg,uv,,,,
increase,stige,stiger,steg,er steget,var steget,stig,uv,,,,
sting,stikke,stikker,stak,har stukket,havde stukket,stik,uv,,,,
elope,stikke af,stikker af,stak af,er stukket af,var stukket af,stik af,uv,,,,
quiet,stille,stiller,stillede,har stillet,havde stillet,stil,b1,,,,
steal,stjæle,stjæler,stjal,har stjålet,havde stjålet,stjæl,uv,,,,
trust,stole på,stoler på,stolede på,har stolet på,havde stolet på,stol på,b1,,,,
stop,stoppe,stopper,stoppede,har / er stoppet,havdestoppet/ var,stop,b1,,,,
criminal,straffe,straffer,straffede,har straffet,havde straffet,straf,b1,,,,
tight,stramme,strammer,strammede,har strammet,havde strammet,stram,b1,,,,
stretch,strække,strækker,strakte,har strakt,havde strakt,stræk,uv,,,,
study,studere,studerer,studerede,har studeret,havde studeret,studer,b1,,,,
control,styre,styrer,styrede,har styret,havde styret,styr,b1,,,,
strength,styrke,styrker,styrkede,har styrket,havde styrket,styrk,b1,,,,
encounter,støde,støder,stødte,stødthar,havdestødt,stød,b2,,,,
encountering,støde på,støder på,stødte på,er stødt på,var stødt på,stød på,b2,,,,
support,støtte,støtter,støttede,har støttet,havde støttet,støt,b1,,,,
stand,stå,står,stod,har stået,havde stået,stå,uv,,,,
rise,stå op,står op,stod op,er stået op,var stået op,stå op,uv,,,,
reply,svare,svarer,svarede,har svaret,havde svaret,svar,b1,,,,
fail,svigte,svigter,svigtede,har sviget,havde svigtet,svigt,b1,,,,
swing,svinge,svinger,svingede,har svinget,havde svinget,sving,b1,,,,
sew,sy,syr,syede,har syet,havde syet,sy,b1,,,,
seems,synes,synes,syntes,har syntes,havde syntes,synes,uv,,,,
sing,synge,synger,sang,har sunget,havde sunget,syng,uv,,,,
sink,synke,synker,sank,er sunket,var sunket,synk,uv,,,,
sell,sælge,sælger,solgte,har solgt,havde solgt,sælg,uv,,,,
lower,sænke,sænker,sænkede,har sænket,havde sænket,sænk,b1,,,,
put,sætte,sætter,satte,har sat,havde sat,sæt,uv,,,,
search,søge,søger,søgte,har søgt,havde søgt,søg,b2,,,,
ensure,sørge for,sørger for,sørgede for,har sørget for,havde sørget for,sørg for,b1,,,,
lose,tabe,taber,tabte,har tabt,havde tabt,tab,b2,,,,
take,tage,tager,tog,har taget,havde taget,tag,uv,,,,
go home,tage hjem,tager hjem,tog hjem,er taget hjem,var taget hjem,tag hjem,uv,,,,
thank,takke,takker,takkede,har takket,havde takket,tak,b1,,,,
speech,tale,taler,talte,har talt,havde talt,tal,b2,,,,
draw,tegne,tegner,tegnede,har tegnet,havde tegnet,tegn,b1,,,,
spend,tilbringe,tilbringer,tilbragte,har tilbragt,havde tilbragt,tilbring,uv,,,,
offer,tilbyde,tilbyder,tilbød,har tilbudt,havde tilbudt,tilbyd,uv,,,,
add,tilføje,tilføjer,tilføjede,har tilføjet,havde tilføjet,tilføj,b1,,,,
belong,tilhøre,tilhører,tilhørte,har tilhørt,havde tilhørt,,b2,,,,
allow,tillade,tillader,tillod,har tilladt,havde tilladt,tillad,uv,,,,
serve,tjene,tjener,tjente,har tjent,havde tjent,tjen,b2,,,,
faith,tro,tror,troede,har troet,havde troet,tro,b1,,,,
TRUE,true,truer,truede,har truet,havde truet,tru,b1,,,,
press,trykke,trykker,trykkede,har trykket,havde trykket,tryk,b1,,,,
step,træde,træder,trådte,har trådt,havde trådt,træd,uv,,,,
take,træffe,træffer,traf,har truffet,havde truffet,træf,uv,,,,
draw,trække,trækker,trak,har trukket,havde trukket,træk,uv,,,,
penetrate,trænge,trænger,trængte,har trængt,havde trængt,træng,b2,,,,
penetrate,trænge ind,trænger ind,trængte ind,er trængt ind,var trængt ind,træng ind,b2,,,,
dare,turde,tør,turde,har turdet,havde turdet,,uv,,,,
force,tvinge,tvinger,tvang,har tvunget,havde tvunget,tving,uv,,,,
clearly,tyde,tyder,tydede,har tydet,havde tydet,tyd,b1,,,,
count,tælle,tæller,talte,har talt,havde talt,tæl,uv,,,,
turn,tænde,tænder,tændte,har tændt,havde tændt,tænd,b2,,,,
think,tænke,tænker,tænkte,har tænkt,havde tænkt,tænk,b2,,,,
empty,tømme,tømmer,tømte,har tømt,havde tømt,tøm,b2,,,,
dry,tørre,tørrer,tørrede,har tørret,havde tørret,tør,b1,,,,
tolerate,tåle,tåler,tålte,har tålt,havde tålt,tål,b2,,,,
prepare,udarbejde,udarbejder,udarbejdede,har udarbejdet,havde udarbejdet,,b1,,,,
spread,udbrede,udbreder,udbredte,har udbredt,havde udbredt,udbred,b2,,,,
train,uddanne,uddanner,uddannede,har uddannet,havde uddannet,uddan,b1,,,,
exclude,udelukke,udelukker,udelukkede,har udelukket,havde udelukket,udeluk,b1,,,,
perform,udføre,udfører,udførte,har udført,havde udført,udfør,uv,,,,
publisher,udgive,udgiver,udgav,har udgivet,havde udgivet,udgiv,uv,,,,
be,udgøre,udgør,udgjorde,har udgjort,havde udgjort,udgør,uv,,,,
livelihood,udkomme,udkommer,udkom,er udkommet,var udkommet,,uv,,,,
disclose,udlevere,udleverer,udleverede,har udleveret,havde udleveret,udlever,b1,,,,
trigger,udløse,udløser,udløste,har udløst,havde udløst,udløs,b2,,,,
exploit,udnytte,udnytter,udnyttede,har udnyttet,havde udnyttet,udnyt,b1,,,,
equip,udstyre,udstyrer,udstyrede,har udstyret,havde udstyret,udstyr,b1,,,,
expose,udsætte,udsætter,udsatte,har udsat,havde udsat,udsæt,uv,,,,
pronunciation,udtale,udtaler,udtalte,har udtalt,havde udtalt,udtal,b2,,,,
express,udtrykke,udtrykker,udtrykte,har udtrykt,havde udtrykt,udtryk,b2,,,,
expand,udvide,udvider,uvidede,har udvidet,havde udvidet,udvid,b1,,,,
develop,udvikle,udvikler,udviklede,har udviklet,havde udviklet,udvikl,b1,,,,
entertain,underholde,underholder,underholdt,har underholdt,havde underholdt,underhold,uv,,,,
stress,understrege,under-streger,stregedeunder-,har under-streget,havde under-streget,under-streg,b1,,,,
investigate,undersøge,undersøger,undersøgte,har undersøgt,havde undersøgt,undersøg,b2,,,,
avoid,undgå,undgår,undgik,har undgået,havde undgået,undgå,b2,,,,
wonder,undre sig,undrer sig,undrede sig,har undret sig,havde undret sig,undr dig,b1,,,,
vaccination,vaccinere,vaccinerer,vaccinerede,har vaccineret,havde vaccineret,vacciner,b1,,,,
product,vare,varer,varede,har varet,havde varet,var,b1,,,,
vary,variere,varierer,varierede,har varieret,havde varieret,varier,b1,,,,
wash,vaske,vasker,vaskede,har vasket,havde vasket,vask,b1,,,,
adopt,vedtage,vedtager,vedtog,har vedtaget,havde vedtaget,vedtag,uv,,,,
roads,veje,vejer,vejede,har vejet,havde vejet,vej,b1,,,,
turn,vende,vender,vendte,har vendt,havde vendt,vend,b2,,,,
wait,vente,venter,ventede,har ventet,havde ventet,vent,b1,,,,
know,vide,ved,vidste,har vidst,havde vidst,vid,uv,,,,
would,ville,vil,ville,har villet,havde villet,vil,uv,,,,
win,vinde,vinder,vandt,har vundet,havde vundet,vind,uv,,,,
work,virke,virker,virkede,har virket,havde virket,virk,b1,,,,
show,vise,viser,viste,har vist,havde vist,vis,b2,,,,
grow,vokse,vokser,voksede,er vokset,var vokset,voks,b1,,,,
assess,vurdere,vurderer,vurderede,har vurderet,havde vurderet,vurder,b1,,,,
arouse,vække,vækker,vækkede,har vækket,havde vækket,væk,b1,,,,
choose,vælge,vælger,valgte,har valgt,havde valgt,vælg,uv,,,,
overthrow,vælte,vælter,væltede,har væltet,havde væltet,vælt,b1,,,,
be,være,er,var,har været,havde været,vær,uv,,,,
wake,vågne,vågner,vågnede,er vågnet,var vågnet,vågn,b1,,,,
provide,yde,yder,ydede,har ydet,havde ydet,yd,b1,,,,
change,ændre,ændrer,ændrede,har ændret,havde ændret,ændr,b1,,,,
destroy,ødelægge,ødelægger,ødelagde,har ødelagt,havde ødelagt,ødelæg,uv,,,,
increase,øge,øger,øgede,har øget,havde øget,øg,,,,,
desire,ønske,ønsker,ønskede,har ønsket,havde ønsket,ønsk,,,,,
open,åbne,åbner,åbnede,har åbnet,havde åbnet,åbn,,,,,
,,,,,,,,,,,
